0,#,Название,Название (англ.),Цена,Вес,Урон,Длина,Доступность,Тип предмета,Качества,Руны,Источник
26,11,(2Р) Боевой цеп,Military Flail,3 КР 0/0,2,+РС+6,Длинное,Раритетный,Цепы,"Массивное,Огибающее,Оттесняющее,Сокрушающее",,Во всеоружии
551,12,(2Р) Большая дубина огра,Big Ogre Club,5 КР 0/0,6,+РС+6,Длинное,Распространённый,Двуручное,Грозное,,Архивы империи - Том 2
388,13,Булава,Mace,0 КР 15/0,0,+РС+4,Среднее,Распространённый,Основное,"Несбалансированное,Ошеломляющее",,Во всеоружии
329,14,Вращающиеся лезвия смерти,Whirling blades of death,5 КР 0/0,2,+РС+5,Длинное,Раритетный,Цепы,"Массивное,Огибающее,Оттесняющее,Разрубающее,Сокрушающее",,Гномы. Руководство игрока
328,15,Гномий боевой молот,Dwarf Warhammer,1 КР 0/0,1,+РС+4,Среднее,Распространённый,Основное,Ошеломляющее,,Гномы. Руководство игрока
331,16,(2Р) Гномий двуручный молот,Dwarf Greathammer,4 КР 0/0,3,+РС+7,Среднее,Распространённый,Двуручное,"Грозное,Ошеломляющее",,Гномы. Руководство игрока
330,17,(2Р) Гномий двуручный топор,Dwarf Greataxe,4 КР 0/0,3,+РС+6,Длинное,Распространённый,Двуручное,"Массивное,Разрубающее,Сокрушающее",,Гномы. Руководство игрока
309,18,Гномий молот (неактуально),Dwarf Hammer,3 КР 0/0,2,+РС+4,Среднее,Редкий,Основное,Ошеломляющее,,Архивы империи - Том 1
327,19,Гномий топор,Dwarf Axe,1 КР 0/0,1,+РС+4,Среднее,Распространённый,Основное,Разрубающее,,Гномы. Руководство игрока
332,20,(2Р) Гномья кирка,Dwarf Pick,1 КР 0/0,3,+РС+6,Среднее,Распространённый,Двуручное,"Грозное,Пронзающее",,Гномы. Руководство игрока
29,21,Дага,Main Gauche,1 КР 0/0,0,+РС+2,Очень короткое,Раритетный,Парирующее,Защитное,,Во всеоружии
36,22,(2Р) Двуручный меч,Zweihänder,10 КР 0/0,3,+РС+5,Длинное,Редкий,Двуручное,"Грозное,Разрубающее",,Во всеоружии
37,23,(2Р) Двуручный топор,Great Axe,4 КР 0/0,3,+РС+6,Длинное,Редкий,Двуручное,"Массивное,Разрубающее,Сокрушающее",,Во всеоружии
387,24,Дубина,Club,0 КР 4/0,0,+РС+4,Среднее,Распространённый,Основное,"Несбалансированное,Щадящее",,Во всеоружии
547,25,Дубина огра,Ogre Club,1 КР 0/0,2,+РС+4,Среднее,Распространённый,Основное,,,Архивы империи - Том 2
550,26,Железный кулак,Ironfist,4 КР 0/0,2,+РС+3,Короткое,Редкий,Основное,"Защитное,Щит (1)",,Архивы империи - Том 2
400,27,Запирающаяся рукавица,Locked Gauntlet,1 КР 0/0,1,+РС+2,Компактное,Редкий,Кулачное,Щадящее,,Во всеоружии
611,28,Зверопогоняло,,0 КР 0/0,3,+РС+4,Компактное,-,Древковое,Ззап!,,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
12,29,Импровизированное оружие,Improvised Weapon,0 КР 0/0,0,+РС+1,Разная,-,Основное,"Несбалансированное,Щадящее",,Во всеоружии
21,30,(2Р) Кавалерийский молот,Cavalry Hammer,3 КР 0/0,3,+РС+5,Длинное,Редкий,Кавалерийское,Ошеломляющее,,Во всеоружии
20,31,Кавалерийское копьё,Lance,1 КР 0/0,3,+РС+6,Очень длинное,Раритетный,Кавалерийское,"Пронзающее,Сокрушающее",,Во всеоружии
25,32,Кастет,Knuckledusters,0 КР 2/6,0,+РС+2,Компактное,Распространённый,Кулачное,,,Во всеоружии
14,33,Кинжал,Dagger,0 КР 16/0,0,+РС+2,Очень короткое,Распространённый,Основное,,,Во всеоружии
38,34,(2Р) Кирка,Pick,0 КР 9/0,3,+РС+5,Среднее,Распространённый,Двуручное,"Грозное,Медленное,Пронзающее",,Во всеоружии
392,35,Клевец,Warhammer,1 КР 0/0,1,+РС+4,Среднее,Редкий,Основное,"Несбалансированное,БронебойноеилиОшеломляющее",,Во всеоружии
32,36,(2Р) Копьё,Spear,0 КР 15/0,2,+РС+4,Очень длинное,Распространённый,Древковое,Пронзающее,,Во всеоружии
306,37,(2Р) Копье эонир,Eonir Spear,2 КР 0/0,1,+РС+4,Длинное,Распространённый,Древковое,Бронебойное,,Архивы империи - Том 1
394,38,Короткое кавалерийское копье,Demi-Lance,1 КР 0/0,2,+РС+5,Длинное,Редкий,Кавалерийское,"Пронзающее,Сокрушающее",,Во всеоружии
607,39,Крысиные когти,,0 КР 0/0,0,+РС+2,Очень короткое,-,Основное,"Быстрое,Защитное",,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
271,40,Магический кинжал,Magical Dagger,50 КР 0/0,0,+РС+2,Очень короткое,Экзотический,Основное,"Красивый х1,Прочный х1",,Мидденхайм - Город Белого Волка
396,41,Малый меч,Smallsword,4 КР 0/0,1,+РС+2,Среднее,Редкий,Фехтовальное,"Быстрое,Пронзающее,Точное",,Во всеоружии
334,42,Механический топор,Cog Axe,15 КР 0/0,1,+РС+4,Среднее,Экзотический,Инженерное,"Бронебойное,Мечелом,Разрубающее",,Гномы. Руководство игрока
391,43,Меч,Sword,1 КР 0/0,1,+РС+4,Среднее,Распространённый,Основное,,,Во всеоружии
307,44,(2Р) Меч диколесья,Wildwood Sword,10 КР 0/0,2,+РС+4,Длинное,Редкий,Двуручное,"Быстрое,Грозное",,Архивы империи - Том 1
270,45,Меч Страха,Sword of Fear,150 КР 0/0,1,+РС+4,Среднее,Экзотический,Основное,"Красивый х1,Прочный х1",,Мидденхайм - Город Белого Волка
39,46,(2Р) Меч-бастард,Bastard Sword,8 КР 0/0,3,+РС+5,Длинное,Редкий,Двуручное,"Грозное,Защитное",,Во всеоружии
30,47,Мечелом,Swordbreaker,1 КР 2/6,1,+РС+1,Компактное,Редкий,Парирующее,"Защитное,Мечелом",,Во всеоружии
27,48,Молотило,Grain Flail,0 КР 10/0,1,+РС+3,Среднее,Распространённый,Цепы,"Неточное,Огибающее,Оттесняющее",,Во всеоружии
398,49,Наконечник багра,Boat Hook,0 КР 6/0,0,+РС+4,Компактное,Распространённый,Кулачное,"Подсекающее,Щадящее",,Во всеоружии
15,50,Нож,Knife,0 КР 8/0,0,+РС+1,Очень короткое,Распространённый,Основное,Щадящее,,Во всеоружии
335,51,Паровая рукавица,Steam Gauntlet,40 КР 0/0,1,+РС+7,Компактное,Экзотический,Инженерное,"Ошеломляющее,Щит (1)",,Гномы. Руководство игрока
333,52,(2Р) Паровой бур,Steam Drill,12 КР 0/0,3,+РС+6,Среднее,Раритетный,Инженерное,"Пронзающее,Сокрушающее",,Гномы. Руководство игрока
33,53,(2Р) Пика,Pike,0 КР 18/0,4,+РС+4,Громадное,Раритетный,Древковое,Пронзающее,,Во всеоружии
402,54,Плащ,Cloak,0 КР 10/0,1,+РС+0,Короткое,Распространённый,Парирующее,"Защитное,Обездвиживающее,Щадящее",,Во всеоружии
408,55,(2Р) Полэкс,Pollaxe,2 КР 0/0,3,+РС+4,Длинное,Редкий,Древковое,"Защитное,ОшеломляющееилиПронзающееилиРазрубающее",,Во всеоружии
34,56,(2Р) Посох,Quarter Staff,0 КР 3/0,2,+РС+4,Длинное,Распространённый,Древковое,"Защитное,Ошеломляющее",,Во всеоружии
407,57,(2Р) Протазан/глефа,Partizan or Glaive,2 КР 0/0,3,+РС+4,Длинное,Редкий,Древковое,"Защитное,ПронзающееилиРассекающее (2)",,Во всеоружии
22,58,Рапира,Foil,5 КР 0/0,1,+РС+3,Среднее,Редкий,Фехтовальное,"Быстрое,Пронзающее,Точное,Щадящее",,Во всеоружии
16,59,Ручное оружие,Hand Weapon,1 КР 0/0,1,+РС+4,Среднее,Распространённый,Основное,,,Книга правил
395,60,Сабля,Sabre,2 КР 0/0,1,+РС+4,Среднее,Редкий,Кавалерийское,Рассекающее (1),,Во всеоружии
297,61,Саиф Аль-Джануб,Saif Al-Janub,20 КР 0/0,1,+РС+5,Среднее,Экзотический,Основное,"Защитное,Красивый х4,Неразрушимое",,Стартовый набор
390,62,Скимитар,Scimitar,1 КР 0/0,1,+РС+4,Короткое,Редкий,Основное,Рассекающее (1),,Во всеоружии
401,63,Слеппер,Sap,0 КР 1/0,0,+РС+2,Компактное,Раритетный,Кулачное,"Несбалансированное,Ошеломляющее,Щадящее",,Во всеоружии
612,64,Тварелов,,0 КР 0/0,3,+РС+2,Длинное,-,Древковое,Обездвиживающее,,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
385,65,Топор,Axe,0 КР 10/0,1,+РС+4,Среднее,Распространённый,Основное,"Несбалансированное,Разрубающее",,Во всеоружии
310,66,(2Р) Топор Убийцы,Slayer's Axe,12 КР 0/0,4,+РС+6,Длинное,Редкий,Двуручное,"Бронебойное,Сокрушающее",,Архивы империи - Том 1
308,67,Топор-бородач,Bearded Axe,1 КР 0/0,2,+РС+4,Среднее,Распространённый,Основное,Мечелом,,Архивы империи - Том 1
399,68,(2Р) Удавка,Garrote,0 КР 1/0,0,+РС+2,Компактное,Раритетный,Кулачное,"Медленное,Несбалансированное,Обездвиживающее,Щадящее",,Во всеоружии
606,69,Ударный кинжал,,0 КР 0/0,0,+РС+1,Очень короткое,-,Основное,"Быстрое,Защитное",,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
403,70,(2Р) Утяжеленная сеть,Weighted Net,1 КР 10/0,1,+РС+0,Короткое,Раритетный,Парирующее,"Защитное,Медленное,Обездвиживающее,Огибающее,Щадящее,Щит (1)",,Во всеоружии
409,71,(2Р) Фламберг,Flamberge,30 КР 0/0,3,+РС+5,Длинное,Раритетный,Двуручное,"Грозное,Разрубающее,Рассекающее (2)",,Во всеоружии
608,72,Хвостовое оружие,,0 КР 0/0,0,+РС+1,Короткое,-,Основное,"Неточное,Оттесняющее",,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
28,73,Цеп,Flail,2 КР 0/0,1,+РС+5,Среднее,Редкий,Цепы,"Огибающее,Оттесняющее",,Во всеоружии
325,74,(2Р) Цеп-кадило,Censer-Flail,3 КР 0/0,2,+РС+5,Длинное,Экзотический,Цепы,"Массивное,Огибающее,Оттесняющее,Сокрушающее",,Покровители Старого Света II
312,75,Чугунная сковорода,Iron Skillet,1 КР 0/0,1,+РС+3,Среднее,Распространённый,Основное,Защитное,,Архивы империи - Том 1
609,76,Чумное кадило,,0 КР 0/0,3,+РС+4,Длинное,-,Цепы,"Варп-камень,Массивное,Неточное,Оттесняющее,Сокрушающее",,Враг внутренний: Рогатая Крыса (Дополнительные материалы)
397,77,Шипованная рукавица,Spiked Gauntlet,2 КР 0/0,1,+РС+3,Компактное,Редкий,Кулачное,"Несбалансированное,Пронзающее",,Во всеоружии
23,78,Шпага,Rapier,5 КР 0/0,1,+РС+4,Длинное,Редкий,Фехтовальное,"Быстрое,Пронзающее",,Во всеоружии
18,79,Щит,Shield,2 КР 0/0,1,+РС+2,Очень короткое,Распространённый,Основное,"Защитное,Щадящее,Щит (2)",,Во всеоружии
17,80,Щит-баклер,Shield (Buckler),0 КР 18/2,0,+РС+1,Компактное,Распространённый,Основное,"Защитное,Щадящее,Щит (1)",,Во всеоружии
19,81,Щит-большой,Shield (Large),3 КР 0/0,3,+РС+3,Очень короткое,Распространённый,Основное,"Защитное,Щадящее,Щит (3)",,Во всеоружии
393,82,Щит-павеза,Shield (Pavise),3 КР 15/0,4,+РС+2,Компактное,Раритетный,Основное,Щит (5),,Во всеоружии
