0,#,Название,Название (англ.),Школа магии,Порог сотворения,Источник
225,41,Воздвигнуть строение,Erect the Edifice,Цветная магия (Школа Света),9,Ветры магии
129,42,Вопящий череп,Screaming Skull,Темная магия (Школа Некромантии),8,Книга правил
161,43,Воспламенение,Ignite,Цветная магия (Школа Огня),3,Ветры магии
1,44,Вспышки,Dazzle,Простейшие заклинания,0,Книга правил
74,45,Второе знамение Амула,The Second Portent of Amul,Цветная магия (Школа Небес),6,Книга правил
241,46,Вызов духов,Compel Spirits,Цветная магия (Школа Смерти),6,Ветры магии
255,47,Выправка металла,Metal Mended,Цветная магия (Школа Металла),4,Ветры магии
242,48,Выявление Шаиша,Shyish Uncovered,Цветная магия (Школа Смерти),4,Ветры магии
180,49,Гейзер,Geyser,Цветная магия (Школа Жизни),8,Ветры магии
226,50,Глаза Воланса,Eyes of Volans,Цветная магия (Школа Света),6,Ветры магии
209,51,Глубокие карманы,Deep Pockets,Цветная магия (Школа Теней),5,Ветры магии
243,52,Гнёт времени,Tide of Years,Цветная магия (Школа Смерти),3,Ветры магии
2,53,Гниение,Rot,Простейшие заклинания,0,Книга правил
338,54,Говорящие следы,Track’s tale told,Цветная магия (Школа Жизни),3,Заклинания непревзойденной полезности Сулласары
134,55,Горестное принятие,Acquiescence,Магия Хаоса (Школа Слаанеша),5,Книга правил
360,56,Горк всё исправит,Gork’ll Fix It,Магия малого Вааагх!,5,Племена и бедствия
66,57,Горн Шамона,Crucible of Chamon,Цветная магия (Школа Металла),7,Книга правил
162,58,Горючесть,Kindleflame,Цветная магия (Школа Огня),2,Ветры магии
163,59,Горящая голова,Burning Head,Цветная магия (Школа Огня),6,Ветры магии
327,60,Готовка мяса,Flashcook,Цветная магия (Школа Огня),2,Заклинания непревзойденной полезности Сулласары
143,61,Гроза Торсена,Thorsen’s Thunderstorm,Цветная магия (Школа Небес),11,Ветры магии
359,62,Дар паучьего бога,Gift of the Spider-God,Магия малого Вааагх!,3,Племена и бедствия
27,63,Дезориентация,Distracting,Общие заклинания,4,Книга правил
49,64,Деревянная шкура,Barkskin,Цветная магия (Школа Жизни),3,Книга правил
256,65,Дефект формы,Fault of Form,Цветная магия (Школа Металла),2,Ветры магии
244,66,Дикая порода Зандокса,Wild Kin of Zandox,Цветная магия (Школа Смерти),5,Ветры магии
323,67,Дикий зов,Wildercall,Цветная магия (Школа Зверей),2,Заклинания непревзойденной полезности Сулласары
58,68,Дикое обличье Виссана,Wyssan’s Wildform,Цветная магия (Школа Зверей),8,Книга правил
120,69,Добрая воля,Goodwill,Ведьмовская магия (Школа Знахарства),0,Книга правил
105,70,Доппельгангер,Doppelganger,Цветная магия (Школа Теней),10,Книга правил
181,71,Древесная форма,Wood Shape,Цветная магия (Школа Жизни),8,Ветры магии
3,72,Дротик,Dart,Простейшие заклинания,0,Книга правил
4,73,Друг животных,Animal Friend,Простейшие заклинания,0,Книга правил
144,74,Духовная проекция,Project Spirit,Цветная магия (Школа Небес),7,Ветры магии
28,75,Дырявые руки,Drop,Общие заклинания,1,Книга правил
29,76,Едкий ихор,Corrosive Blood,Общие заклинания,4,Книга правил
352,77,Желчевар,Bilebrew,Школа Великой Пасти,6,Племена и бедствия
368,78,Жёсткий как гвоздь,‘Ard as Nails,Заклинания большого Вааагх!,3,Племена и бедствия
334,79,Жесткость стали,Rigor of steel,Цветная магия (Школа Металла),6,Заклинания непревзойденной полезности Сулласары
137,80,Живая трясина,Living Mire,Цветная магия (Школа Жизни),8,Море Когтей
182,81,Жизненный рост,Vital Growth,Цветная магия (Школа Жизни),7,Ветры магии
50,82,Жир земли,Fat of the Land,Цветная магия (Школа Жизни),4,Книга правил
210,83,Замешательство,Bewilder,Цветная магия (Школа Теней),5,Ветры магии
310,84,Застывание,Congeal,Ведьмовская магия (Школа Ведьмовства),4,Кровь и ежевика
245,85,Заточение души,Animus Imprisoned,Цветная магия (Школа Смерти),12,Ветры магии
67,86,Зачарование оружия,Enchant Weapon,Цветная магия (Школа Металла),6,Книга правил
5,87,Защита от дождя,Protection from Rain,Простейшие заклинания,0,Книга правил
30,88,Защита от стрел,Arrow Shield,Общие заклинания,3,Книга правил
90,89,Защита Пха,Phâ’s Protection,Цветная магия (Школа Света),10,Книга правил
121,90,Защитный талисман,Protective Charm,Ведьмовская магия (Школа Знахарства),0,Книга правил
145,91,Звездный свет,Starshine,Цветная магия (Школа Небес),8,Ветры магии
196,92,Зверское полчище Мерсиса,Merciw’s Monstrous Regiment,Цветная магия (Школа Зверей),13,Ветры магии
6,93,Звуки,Sounds,Простейшие заклинания,0,Книга правил
51,94,Земляная купель,Earthpool,Цветная магия (Школа Жизни),8,Книга правил
314,95,Зеркальная бездна,Mirrored Abyss,Ведьмовская магия (Школа Ведьмовства),16,Кровь и ежевика
142,96,Зеркальная гладь,Sea of Glass,Цветная магия (Школа Небес),10,Море Когтей
197,97,Зимняя шуба,Winter Coat,Цветная магия (Школа Зверей),2,Ветры магии
257,98,Златой заслон,Goldsteel shielding,Цветная магия (Школа Металла),10,Ветры магии
373,99,Злое светило,The Evil Sun,Заклинания большого Вааагх!,12,Племена и бедствия
296,100,Злонамеренность,Badwill,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
0,,,,Ведьмовская магия (Школа Ведьмовства)Ведьмовская магия (Школа Знахарства)Заклинания большого Вааагх!Магия малого Вааагх!Магия Хаоса (Школа Нургла)Магия Хаоса (Школа Слаанеша)Магия Хаоса (Школа Тзинча)Общие заклинанияПростейшие заклинанияТемная магия (Школа Демонологии)Темная магия (Школа Некромантии)Цветная магия (Школа Жизни)Цветная магия (Школа Зверей)Цветная магия (Школа Металла)Цветная магия (Школа Небес)Цветная магия (Школа Огня)Цветная магия (Школа Света)Цветная магия (Школа Смерти)Цветная магия (Школа Теней)Школа Великой Пасти,,Архивы империи - Том 2Ветры магииЗаклинания непревзойденной полезности СулласарыКнига правилКровь и ежевикаМидденхайм - Город Белого ВолкаМоре КогтейПлемена и бедствияПриключения в Убершрейке II: Благословение кровиПриключения в Убершрейке II: Смертоносная посылкаСтартовый набор
130,101,Зов Ванхеля,Vanhel’s Call,Темная магия (Школа Некромантии),6,Книга правил
68,102,Золото дурака,Fool’s Gold,Цветная магия (Школа Металла),4,Книга правил
258,103,Золотое касание,Golden Touch,Цветная магия (Школа Металла),7,Ветры магии
259,104,Золотой шар Геенны,Gehenna's Golden Globe,Цветная магия (Школа Металла),13,Ветры магии
260,105,Золочёная клетка,Gilded Cage,Цветная магия (Школа Металла),9,Ветры магии
355,106,Зуболом,Toothcracker,Школа Великой Пасти,8,Племена и бедствия
91,107,Изгнание,Banishment,Цветная магия (Школа Света),12,Книга правил
308,108,Изгнание Бедствия,Banishment of Böl,Ведьмовская магия (Школа Ведьмовства),8,Кровь и ежевика
211,109,Изменчивый облик,Mutable Visage,Цветная магия (Школа Теней),4,Ветры магии
318,110,Изменчивый путь,Wayward Path,Ведьмовская магия (Школа Ведьмовства),13,Кровь и ежевика
106,111,Иллюзия,Illusion,Цветная магия (Школа Теней),8,Книга правил
183,112,Искатель лей-линий,Leyfinding,Цветная магия (Школа Жизни),5,Ветры магии
164,113,Испепеляющий жар,Withering Heat,Цветная магия (Школа Огня),9,Ветры магии
7,114,Испивание,Drain,Простейшие заклинания,0,Книга правил
333,115,История металла,Tale of Metal,Цветная магия (Школа Металла),3,Заклинания непревзойденной полезности Сулласары
8,116,Источник,Spring,Простейшие заклинания,0,Книга правил
320,117,Исцеление зверя,Beast Made Well,Цветная магия (Школа Зверей),3,Заклинания непревзойденной полезности Сулласары
357,118,Каварные словечки,Cunnin’ Words,Магия малого Вааагх!,0,Племена и бедствия
227,119,Капкан Абуллы,Abulla's Snare,Цветная магия (Школа Света),5,Ветры магии
165,120,Кипящая кровь,Boiling Blood,Цветная магия (Школа Огня),5,Ветры магии
146,121,Клинки Азира,Azure Blades,Цветная магия (Школа Небес),6,Ветры магии
75,122,Комета Касандоры,Comet of Casandora,Цветная магия (Школа Небес),10,Книга правил
328,123,Комфорт,Comfort,Цветная магия (Школа Огня),3,Заклинания непревзойденной полезности Сулласары
9,124,Консервация,Conserve,Простейшие заклинания,0,Книга правил
326,125,Консервация,Preservation,Цветная магия (Школа Смерти),5,Заклинания непревзойденной полезности Сулласары
99,126,Коса Шаиша,Scythe of Shyish,Цветная магия (Школа Смерти),6,Книга правил
345,127,Костедробитель,Bonecrusher,Школа Великой Пасти,5,Архивы империи - Том 2
309,128,Костолом,Bonesnapper,Ведьмовская магия (Школа Ведьмовства),6,Кровь и ежевика
297,129,Костоправ,Bonesetter,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
166,130,Костровой дух,Kindred of the Hearth,Цветная магия (Школа Огня),4,Ветры магии
184,131,Кровавые слёзы природы,Gardener's Warcry,Цветная магия (Школа Жизни),9,Ветры магии
52,132,Кровь земли,Earthblood,Цветная магия (Школа Жизни),6,Книга правил
353,133,Кровянка,Bloodgruel,Школа Великой Пасти,5,Племена и бедствия
167,134,Кузница Тарнуса,Forge of Tarnus,Цветная магия (Школа Огня),6,Ветры магии
69,135,Кузница Шамона,Forge of Chamon,Цветная магия (Школа Металла),9,Книга правил
374,136,Кулаки Горка,Fists of Gork,Заклинания большого Вааагх!,2,Племена и бедствия
31,137,Купол,Dome,Общие заклинания,7,Книга правил
76,138,Лазурный щит,Cerulean Shield,Цветная магия (Школа Небес),7,Книга правил
100,139,Ласка Ланиф,Caress of Laniph,Цветная магия (Школа Смерти),7,Книга правил
10,140,Лёгкая поступь,Careful Step,Простейшие заклинания,0,Книга правил
53,141,Лес шипов,Forest of Thorns,Цветная магия (Школа Жизни),6,Книга правил
337,142,Лесной свод,Timbervault,Цветная магия (Школа Жизни),4,Заклинания непревзойденной полезности Сулласары
54,143,Лик земли,Lie of the Land,Цветная магия (Школа Жизни),5,Книга правил
147,144,Линза на небесах,Lens on the sky,Цветная магия (Школа Небес),3,Ветры магии
185,145,Листопад,Leaf Fall,Цветная магия (Школа Жизни),6,Ветры магии
11,146,Ловкие руки,Sly Hands,Простейшие заклинания,0,Книга правил
12,147,Магическая отмычка,Open Lock,Простейшие заклинания,0,Книга правил
13,148,Магические светляки,Marsh Lights,Простейшие заклинания,0,Книга правил
15,149,Магический компас,Bearings,Простейшие заклинания,0,Книга правил
14,150,Магический огонёк,Magic Flame,Простейшие заклинания,0,Книга правил
32,151,Магический щит,Magic Shield,Общие заклинания,4,Книга правил
168,152,Магмовый шторм,Magma Storm,Цветная магия (Школа Огня),13,Ветры магии
313,153,Магнетит,Lodestone,Ведьмовская магия (Школа Ведьмовства),6,Кровь и ежевика
228,154,Мерцающий покров,Shimmering Cloak,Цветная магия (Школа Света),9,Ветры магии
261,155,Метеорная нерушимость,Meteoric Ironclad,Цветная магия (Школа Металла),7,Ветры магии
262,156,Метод проб и ошибок,Trial and Error,Цветная магия (Школа Металла),3,Ветры магии
107,157,Мистический туман,Mystifying Miasma,Цветная магия (Школа Теней),6,Книга правил
148,158,Мистраль из стратосферы,Mistral From the Stratosphere,Цветная магия (Школа Небес),5,Ветры магии
370,159,Мозговзрыв,Brainbursta,Заклинания большого Вааагх!,5,Племена и бедствия
347,160,Мозгоглот,Braingobbler,Школа Великой Пасти,5,Архивы империи - Том 2
363,161,Морк вазьмёт тибя!,Mork Wants Ya!,Магия малого Вааагх!,9,Племена и бедствия
378,162,"Морк, выручай нас!",Mork Save Us!,Заклинания большого Вааагх!,8,Племена и бедствия
33,163,Мост,Bridge,Общие заклинания,4,Книга правил
212,164,Мост теней,Bridge of Shadows,Цветная магия (Школа Теней),4,Ветры магии
369,165,"Мочи их, парни!",Bash ‘Em Lads!,Заклинания большого Вааагх!,6,Племена и бедствия
367,166,Мстительный взгляд,Vindictive Glare,Магия малого Вааагх!,7,Племена и бедствия
198,167,Мстящий колпак,Vengeful Hood,Цветная магия (Школа Зверей),7,Ветры магии
229,168,Натиск камня,Assault of Stone,Цветная магия (Школа Света),12,Ветры магии
263,169,Начертание,Inscription,Цветная магия (Школа Металла),2,Ветры магии
169,170,Негасимое пламя,Inextinguishable Flame,Цветная магия (Школа Огня),3,Ветры магии
293,171,Неконтролируемое телесное извержение,Uncontrollable Corporal Expulsion,Магия Хаоса (Школа Слаанеша),6,Приключения в Убершрейке II: Благословение крови
77,172,Несчастливая звезда,Starcrossed,Цветная магия (Школа Небес),7,Книга правил
199,173,Неукротимый зверь,Beast Unbroken,Цветная магия (Школа Зверей),4,Ветры магии
186,174,Нефритовый ларь,Jade Casket,Цветная магия (Школа Жизни),5,Ветры магии
375,175,Нога Горка,Foot of Gork,Заклинания большого Вааагх!,10,Племена и бедствия
34,176,Ночное зрение,Dark Vision,Общие заклинания,1,Книга правил
200,177,Обвивающий червь,Writhing Worm,Цветная магия (Школа Зверей),4,Ветры магии
35,178,Обездвижение,Entangle,Общие заклинания,3,Книга правил
36,179,Оберег,Ward,Общие заклинания,5,Книга правил
59,180,Облик зверя,Beast Form,Цветная магия (Школа Зверей),5,Книга правил
125,181,Обнаружение демона,Detect Daemon,Темная магия (Школа Демонологии),4,Книга правил
299,182,Обогащение почвы,Fertilise,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
213,183,Обратная иллюзия Риболда,Ribauld’s Retroactive Illusion,Цветная магия (Школа Теней),11,Ветры магии
37,184,Обыденная аура,Mundane Aura,Общие заклинания,4,Книга правил
246,185,Обьятия Иирту,Iyrtu’s Embrace,Цветная магия (Школа Смерти),4,Ветры магии
82,186,Огненная стена,Firewall,Цветная магия (Школа Огня),6,Книга правил
170,187,Огненное тело,Body of Fire,Цветная магия (Школа Огня),5,Ветры магии
83,188,Огненный венец,Crown of Flame,Цветная магия (Школа Огня),8,Книга правил
171,189,Огненный шторм,Flamestorm,Цветная магия (Школа Огня),8,Ветры магии
131,190,Оживление мёртвых,Reanimate,Темная магия (Школа Некромантии),8,Книга правил
149,191,Озарение судьбы,Fate illuminated,Цветная магия (Школа Небес),5,Ветры магии
187,192,Окаменение,Flesh of Stone,Цветная магия (Школа Жизни),9,Ветры магии
126,193,Октаграмма,Octagram,Темная магия (Школа Демонологии),10,Книга правил
264,194,Оловянная броня,Armour of Tin,Цветная магия (Школа Металла),4,Ветры магии
303,195,Онерион,Onerion,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
141,196,Оптимальное решение для стрельбы от Ниезлиб,Niezlib’s Optimal Firing Solution,Цветная магия (Школа Небес),6,Море Когтей
230,197,Осветить строение,Illuminate the Edifice,Цветная магия (Школа Света),4,Ветры магии
341,198,Освещение,Illuminate,Цветная магия (Школа Света),3,Заклинания непревзойденной полезности Сулласары
324,199,Остановить руку смерти,Stay Death’s Hand,Цветная магия (Школа Смерти),3,Заклинания непревзойденной полезности Сулласары
304,200,Отважный дух,Stout Spirit,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
0,,,,Ведьмовская магия (Школа Ведьмовства)Ведьмовская магия (Школа Знахарства)Заклинания большого Вааагх!Магия малого Вааагх!Магия Хаоса (Школа Нургла)Магия Хаоса (Школа Слаанеша)Магия Хаоса (Школа Тзинча)Общие заклинанияПростейшие заклинанияТемная магия (Школа Демонологии)Темная магия (Школа Некромантии)Цветная магия (Школа Жизни)Цветная магия (Школа Зверей)Цветная магия (Школа Металла)Цветная магия (Школа Небес)Цветная магия (Школа Огня)Цветная магия (Школа Света)Цветная магия (Школа Смерти)Цветная магия (Школа Теней)Школа Великой Пасти,,Архивы империи - Том 2Ветры магииЗаклинания непревзойденной полезности СулласарыКнига правилКровь и ежевикаМидденхайм - Город Белого ВолкаМоре КогтейПлемена и бедствияПриключения в Убершрейке II: Благословение кровиПриключения в Убершрейке II: Смертоносная посылкаСтартовый набор
340,201,Отвращение,Disgust,Цветная магия (Школа Света),5,Заклинания непревзойденной полезности Сулласары
201,202,Охотничья Луна,Hunter’s Moons,Цветная магия (Школа Зверей),8,Ветры магии
339,203,Очищающее сияние,Cleansing Glow,Цветная магия (Школа Света),3,Заклинания непревзойденной полезности Сулласары
16,204,Очищение воды,Purify Water,Простейшие заклинания,0,Книга правил
84,205,Очищение огнём,Purge,Цветная магия (Школа Огня),10,Книга правил
17,206,Ошеломление,Shock,Простейшие заклинания,0,Книга правил
122,207,Панацея,Nostrum,Ведьмовская магия (Школа Знахарства),0,Книга правил
108,208,Пелена невидимости,Shroud of Invisibility,Цветная магия (Школа Теней),8,Книга правил
247,209,Пепел и прах,Ashes and Dust,Цветная магия (Школа Смерти),9,Ветры магии
78,210,Первое знамение Амула,The First Portent of Amul,Цветная магия (Школа Небес),3,Книга правил
343,211,Плащ Теней,Cloak Activity,Цветная магия (Школа Теней),6,Заклинания непревзойденной полезности Сулласары
70,212,Податливый металл,Mutable Metal,Цветная магия (Школа Металла),5,Книга правил
188,213,Подземный народец,Dwellers Below,Цветная магия (Школа Жизни),13,Ветры магии
290,214,Подлый втык,Sneaky Stabbin’,Магия малого Вааагх!,2,Стартовый набор
366,215,Подлый удар,Sneaky Stabbin’,Магия малого Вааагх!,8,Племена и бедствия
18,216,Подслушивание,Eavesdrop,Простейшие заклинания,0,Книга правил
351,217,Пожирание падших,Feast of the Fallen,Школа Великой Пасти,9,Архивы империи - Том 2
265,218,Познание неведомого,Breach the Unknown,Цветная магия (Школа Металла),4,Ветры магии
364,219,Покров ночи,Night Shroud,Магия малого Вааагх!,5,Племена и бедствия
344,220,Покров Тьмы,Pall of Darkness,Цветная магия (Школа Теней),5,Заклинания непревзойденной полезности Сулласары
38,221,Полёт,Flight,Общие заклинания,8,Книга правил
113,222,Ползучая напасть,Creeping Menace,Ведьмовская магия (Школа Ведьмовства),6,Книга правил
150,223,Полировка и сборка,Polish and Glean,Цветная магия (Школа Небес),1,Ветры магии
114,224,Порча,Blight,Ведьмовская магия (Школа Ведьмовства),14,Книга правил
19,225,Порыв ветра,Gust,Простейшие заклинания,0,Книга правил
101,226,Посмертные слова,Dying Words,Цветная магия (Школа Смерти),6,Книга правил
133,227,Поток скверны,Stream of Corruption,Магия Хаоса (Школа Нургла),9,Книга правил
312,228,Похититель Судьбы,Fatethief,Ведьмовская магия (Школа Ведьмовства),9,Кровь и ежевика
102,229,Похищение жизни,Steal Life,Цветная магия (Школа Смерти),7,Книга правил
291,230,Почесуха,Itchy Nuisance,Магия малого Вааагх!,4,Стартовый набор
362,231,Почесуха,Itchy Nuisance,Магия малого Вааагх!,4,Племена и бедствия
20,232,Появление зверушки,Produce Small Animal,Простейшие заклинания,0,Книга правил
214,233,Предательство Тарна,Traitor of Tarn,Цветная магия (Школа Теней),12,Ветры магии
151,234,Предвиденный враг,Enemy foreseen,Цветная магия (Школа Небес),4,Ветры магии
21,235,Предостережение,Warning,Простейшие заклинания,0,Книга правил
152,236,Предсказание,Divination,Цветная магия (Школа Небес),3,Ветры магии
202,237,Преображение Кадона,Transformation of Kadon,Цветная магия (Школа Зверей),14,Ветры магии
85,238,Прижигание,Cauterise,Цветная магия (Школа Огня),4,Книга правил
266,239,Призматическое преломление Хабермаса,Prismatic Refraction of Habermas,Цветная магия (Школа Металла),5,Ветры магии
301,240,Призрачная отрава,Geistbane,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
189,241,Призрачная трансмогрификация Колхиды,Vaunted Transmogrification of Colchis,Цветная магия (Школа Жизни),6,Ветры магии
132,242,Призыв костяков,Raise Dead,Темная магия (Школа Некромантии),8,Книга правил
295,243,Призыв на Пляску Смерти Ванхеля,Vanhel's invitation on the Dance Macabre,Темная магия (Школа Некромантии),16,Приключения в Убершрейке II: Смертоносная посылка
127,244,Призыв низшего демона,Manifest Lesser Daemon,Темная магия (Школа Демонологии),8,Книга правил
203,245,Призыв скакуна,Summon Mount,Цветная магия (Школа Зверей),6,Ветры магии
248,246,Принятие судьбы,Acceptance of Fate,Цветная магия (Школа Смерти),2,Ветры магии
204,247,Пробуждение леса,Awakening of the Wood,Цветная магия (Школа Зверей),8,Ветры магии
205,248,Проклятие Анрахейра,Curse of Anraheir,Цветная магия (Школа Зверей),5,Ветры магии
315,249,Проклятие изгоя,Outcast’s Curse,Ведьмовская магия (Школа Ведьмовства),6,Кровь и ежевика
311,250,Проклятие коварного языка,Curse of the Treacherous Tongue,Ведьмовская магия (Школа Ведьмовства),6,Кровь и ежевика
115,251,Проклятие нестерпимой боли,Curse of Crippling Pain,Ведьмовская магия (Школа Ведьмовства),10,Книга правил
116,252,Проклятие неудачи,Curse of Ill-Fortune,Ведьмовская магия (Школа Ведьмовства),8,Книга правил
153,253,Проклятие судьбы,Curse of fate,Цветная магия (Школа Небес),8,Ветры магии
117,254,Проклятое место,Haunting Horror,Ведьмовская магия (Школа Ведьмовства),8,Книга правил
358,255,Проклятье паганой луны,Curse of Da Bad Moon,Магия малого Вааагх!,9,Племена и бедствия
267,256,Проклятье ржавчины,Curse of Rust,Цветная магия (Школа Металла),4,Ветры магии
330,257,Птичий говор,Birdspeech,Цветная магия (Школа Небес),4,Заклинания непревзойденной полезности Сулласары
103,258,Пурпурный саван Шаиша,Purple Pall of Shyish,Цветная магия (Школа Смерти),9,Книга правил
154,259,Пусть дуют четыре ветра!,Let the Four Winds Blow!,Цветная магия (Школа Небес),9,Ветры магии
300,260,Путы Оков,Fetterfetch,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
190,261,Путь Паранота,Paranoth's Pathway,Цветная магия (Школа Жизни),4,Ветры магии
172,262,Пылающая буря Йигетмора,Ygethmor’s Flaming Blizzard,Цветная магия (Школа Огня),12,Ветры магии
86,263,Пылающий меч Рюина,Flaming Sword of Rhuin,Цветная магия (Школа Огня),8,Книга правил
87,264,Пылкие сердца,Flaming Hearts,Цветная магия (Школа Огня),8,Книга правил
302,265,Разжигание,Kindle,Ведьмовская магия (Школа Знахарства),0,Кровь и ежевика
79,266,Разряд Т'Эсслы,T’Essla’s Arc,Цветная магия (Школа Небес),7,Книга правил
321,267,Расплата за жестокость,Cruelty’s Deserts,Цветная магия (Школа Зверей),2,Заклинания непревзойденной полезности Сулласары
268,268,Распутанный узел,Knot Untied,Цветная магия (Школа Металла),5,Ветры магии
39,269,Расталкивание,Push,Общие заклинания,6,Книга правил
231,270,Расщелина,Crevasse,Цветная магия (Школа Света),8,Ветры магии
55,271,Регенерация,Regenerate,Цветная магия (Школа Жизни),6,Книга правил
269,272,Репликация Леворга,Replication of Levorg,Цветная магия (Школа Металла),6,Ветры магии
215,273,Рог Андара,Horn of Andar,Цветная магия (Школа Теней),5,Ветры магии
377,274,Рука Горка,The Hand of Gork,Заклинания большого Вааагх!,9,Племена и бедствия
232,275,Руки Каркоры,Hands of Karkora,Цветная магия (Школа Света),8,Ветры магии
155,276,Сапфировая арка,Sapphire Arch,Цветная магия (Школа Небес),6,Ветры магии
22,277,Свет,Light,Простейшие заклинания,0,Книга правил
233,278,Свет очищения,Light of Purity,Цветная магия (Школа Света),6,Ветры магии
71,279,Свинцовое перо,Feather of Lead,Цветная магия (Школа Металла),5,Книга правил
316,280,Связывающий Договор,Pactbind,Ведьмовская магия (Школа Ведьмовства),5,Кровь и ежевика
104,281,Священный круг,Sanctify,Цветная магия (Школа Смерти),10,Книга правил
