0,#,Название,Название (англ.),Максимум,Источник
40,44,Грозный вид,Menacing,РС,Книга правил
41,45,Грязные приёмы,Dirty Fighting,РББ,Книга правил
42,46,Гуттаперчевость,Contortionist,РПр,Книга правил
175,47,Давняя обида (обидчики),Ancestral Grudge,РСВ,Гномы. Руководство игрока
43,48,Двойная атака,Dual Wielder,РПр,Книга правил
185,49,Долгая память,Long Memory,РИнт,Гномы. Руководство игрока
44,50,Духовная чистота,Pure Soul,РСВ,Книга правил
169,51,Единение с Улгу,Suﬀuse with Ulgu,1,Неспокойные ночи и трудные дни
45,52,Жалобный вид,Panhandle,РХ,Книга правил
46,53,Железная воля,Iron Will,РСВ,Книга правил
47,54,Живучесть,Robust,РВ,Книга правил
48,55,Закалка,Very Resilient,1,Книга правил
49,56,Запасливость,Well-prepared,РИ,Книга правил
50,57,Заядлый кутила,Carouser,РВ,Книга правил
51,58,Здоровяк,Hardy,РВ,Книга правил
52,59,Знаток рек,River Guide,РИ,Книга правил
53,60,Игрок в кости,Diceman,РИнт,Книга правил
54,61,Имитатор,Mimic,РИ,Книга правил
55,62,Интриган,Schemer,РИнт,Книга правил
56,63,Искусник,Artistic,РЛ,Книга правил
57,64,Каменный суп,Stone Soup,РВ,Книга правил
59,65,Картёжник,Cardsharp,РИнт,Книга правил
60,66,Кладезь знаний (область знания),Savant (Lore),РИнт,Книга правил
61,67,Книжный червь,Bookish,РИнт,Книга правил
62,68,Командир,Warleader,РХ,Книга правил
170,69,Командир расчёта,Crew Commander,РИ,Гномы. Руководство игрока
63,70,Коммерсант,Dealmaker,РХ,Книга правил
183,71,Королевский гвардеец,Kingsguard,3,Гномы. Руководство игрока
190,72,Короткий запал,Short Fuse,РИнт,Гномы. Руководство игрока
64,73,Кошачья лёгкость,Catfall,РПр,Книга правил
65,74,Лихой наездник,Trick Riding,РПр,Книга правил
66,75,Ловкие пальцы,Nimble Fingered,1,Книга правил
67,76,Ловчий,Trapper,РИ,Книга правил
68,77,Магическое чутьё,Magical Sense,РИ,Книга правил
69,78,Магия Хаоса (Школа),Chaos Magic (Lore),Нет,Книга правил
70,79,Мастер на все руки,Tinker,РЛ,Книга правил
71,80,Мастер перевоплощения,Master of Disguise,РХ,Книга правил
187,81,Мастер рунной магии (руна),Master Rune Magic,РСВ,Гномы. Руководство игрока
72,82,Мастер своего дела (ремесло),Master Tradesman (Trade),РЛ,Книга правил
73,83,Меткий выстрел,Deadeye Shot,1,Книга правил
74,84,Меткость,Marksman,1,Книга правил
75,85,Могучий удар,Strike Mighty Blow,РС,Книга правил
76,86,Молниеносная реакция,Lightning Reflexes,1,Книга правил
77,87,Мореплаватель,Sea Legs,РВ,Книга правил
78,88,Морской волк,Old Salt,РПр,Книга правил
79,89,Небольшой,Small,1,Книга правил
80,90,Ненависть (к группе),Hatred (Group),РСВ,Книга правил
81,91,Непреклонность,Relentless,РПр,Книга правил
191,92,Неутомимый,Tireless,РВ,Гномы. Руководство игрока
82,93,Нумизмат,Numismatics,РИ,Книга правил
83,94,Обострённое восприятие (чувство),Acute Sense (Sense),РИ,Книга правил
84,95,Общительность,Gregarious,РХ,Книга правил
85,96,Оратор,Public Speaker,РХ,Книга правил
86,97,Отважное сердце,Stout-hearted,РСВ,Книга правил
87,98,Отвлекающий манёвр,Distract,РПр,Книга правил
88,99,Отличный пловец,Strong Swimmer,РС,Книга правил
89,100,Отличный стрелок,Sharpshooter,1,Книга правил
0,,,,123НетРББРВРДБРИРИнтРИнт + РСВРЛРПрРСРСВРХ,Архивы империи - Том 1Архивы империи - Том 2Гномы. Руководство игрокаКнига правилМоре КогтейНеспокойные ночи и трудные дниПриключения в Убершрейке I: Стеклянное сердце
90,101,Охотничье чутьё,Hunter’s Eye,РИ,Книга правил
91,102,Ошеломляющий удар,Strike to Stun,РББ,Книга правил
174,103,Певчий,Cantor,1,Приключения в Убершрейке I: Стеклянное сердце
180,104,Пламя кузни,Forgefire,1,Гномы. Руководство игрока
192,105,Подкопщик,Underminer,РПр,Гномы. Руководство игрока
92,106,Подскок,Jump Up,1,Книга правил
93,107,Полевая перевязка,Field Dressing,РИнт,Книга правил
94,108,Полиглот,Linguistics,РИнт,Книга правил
95,109,Полный контакт,In-fighter,РЛ,Книга правил
171,110,Порок (предмет порока),Vice,РСВ,Архивы империи - Том 2
96,111,Поспешное бегство,Flee!,РПр,Книга правил
97,112,Походный рецепт,Concoct,РИнт,Книга правил
98,113,Праведный гнев,Holy Hatred,РХ,Книга правил
99,114,Преступник,Criminal,Нет,Книга правил
100,115,Привлекательность,Attractive,РХ,Книга правил
101,116,Прирождённый воин,Warrior Born,1,Книга правил
102,117,Проницательность,Sharp,1,Книга правил
103,118,Простейшая магия,Petty Magic,1,Книга правил
104,119,Простолюдин,Beneath Notice,РХ,Книга правил
105,120,Разоружение,Disarm,РИ,Книга правил
106,121,Разрыв дистанции,Step Aside,РПр,Книга правил
177,122,Раскалыватель,Demolisher,РС,Гномы. Руководство игрока
107,123,Распознание артефакта,Detect Artefact,РИ,Книга правил
108,124,Расхититель,Embezzle,РИнт,Книга правил
109,125,Речной волк,Waterman,РПр,Книга правил
110,126,Рипост,Riposte,РПр,Книга правил
111,127,Ритор,Master Orator,РХ,Книга правил
112,128,Рокировка,Reversal,РББ,Книга правил
113,129,Роковое Пророчество (пророчество),Doomed,1,Книга правил
178,130,Рокот дракона,Dragon Belcher,РДБ,Гномы. Руководство игрока
114,131,Рулевой,Pilot,РИ,Книга правил
189,132,Рунная магия (форма или руна),Rune Magic,РИнт + РСВ,Гномы. Руководство игрока
115,133,Рыбак,Fisherman,РИ,Книга правил
116,134,Самообладание,Coolheaded,1,Книга правил
117,135,Свирепый натиск,Furious Assault,РПр,Книга правил
118,136,Силач,Very Strong,1,Книга правил
119,137,Сильная спина,Strong Back,РС,Книга правил
120,138,Сильные ноги,Strong Legs,РС,Книга правил
121,139,Скиталец,Rover,РПр,Книга правил
122,140,Скорочтение,Speedreader,РИнт,Книга правил
181,141,Славная гибель,Glorious Demise,1,Гномы. Руководство игрока
172,142,Случайный талант,Random talent,Нет,Книга правил
123,143,Смекалка,Savvy,1,Книга правил
124,144,Снайпер,Sniper,1,Книга правил
176,145,Сокрушительный удар,Bludgeoner,РС,Гномы. Руководство игрока
186,146,Сопротивление к магии,Magic Defiance,1,Гномы. Руководство игрока
188,147,Сорвиголова,Maverick,РПр,Гномы. Руководство игрока
125,148,Спорщик,Argumentative,РХ,Книга правил
126,149,Сродство с животными,Animal Affinity,РСВ,Книга правил
127,150,Стальная челюсть,Iron Jaw,РВ,Книга правил
128,151,Страстное рвение,Impassioned Zeal,РХ,Книга правил
129,152,Стрелковая подготовка,Gunner,РЛ,Книга правил
130,153,Стреляный боец,Unshakable,РСВ,Книга правил
131,154,Строевая подготовка,Drilled,РББ,Книга правил
132,155,Сумеречное зрение,Night Vision,РИ,Книга правил
133,156,Суровый,Implacable,РВ,Книга правил
134,157,Счетовод,Super Numerate,РИнт,Книга правил
135,158,Твёрдость духа,Strong-minded,РСВ,Книга правил
136,159,Тень,Shadow,РПр,Книга правил
137,160,Тесный контакт,Enclosed Fighter,РПр,Книга правил
138,161,Тоннельная крыса,Tunnel Rat,РПр,Книга правил
139,162,Точный выстрел,Accurate shot,РДБ,Книга правил
140,163,Трёп,Blather,РХ,Книга правил
141,164,Убийца чудовищ,Slayer,1,Книга правил
179,165,Укрепление,Entrenchment,РИнт,Гномы. Руководство игрока
142,166,Умелец (ремесло),Craftsman (Trade),РЛ,Книга правил
143,167,Упреждающий удар,Reaction Strike,РИ,Книга правил
144,168,Упрямство,Tenacious,РВ,Книга правил
145,169,Услужливость,Supportive,РХ,Книга правил
146,170,Устойчивость (угроза),Resistance (Threat),РВ,Книга правил
147,171,Устойчивость к магии,Magic Resistance,РВ,Книга правил
148,172,Устрашающий вид,Frightening,РС,Книга правил
149,173,Учтивость,Suave,1,Книга правил
150,174,Фармацевт,Pharmacist,РИнт,Книга правил
151,175,Финт,Feint,РББ,Книга правил
152,176,Флагеллант,Flagellant,РВ,Книга правил
153,177,Фортуна,Luck,РХ,Книга правил
154,178,Хирург,Surgery,РИнт,Книга правил
155,179,Ходок (ландшафт),Strider (Terrain),РПр,Книга правил
196,180,Хозяин морей,Master and Commander,РХ,Море Когтей
156,181,Целеустремлённость,Resolute,РС,Книга правил
157,182,Цепкость,Scale Sheer Surface,РС,Книга правил
158,183,Чтение по губам,Lip Reading,РИ,Книга правил
159,184,Чувство направления,Orientation,РИ,Книга правил
160,185,Чутьё на неприятности,Nose for Trouble,РИ,Книга правил
195,186,Шанти,Chanty,РИнт,Море Когтей
161,187,Шестое чувство,Sixth Sense,РИ,Книга правил
162,188,Школа магии (Школа),Arcane Magic (Lore),1,Книга правил
163,189,Щелчок кнутом,Crack the Whip,РЛ,Книга правил
164,190,Щитоносец,Shieldsman,РС,Книга правил
166,191,Этикет (социальная группа),Etiquette (Social Group),РХ,Книга правил
165,192,Эфирный унисон,Aethyric Attunement,РИ,Книга правил
173,193,Юнорожденный,Youngblood,1,Архивы империи - Том 1
167,194,Яростный натиск,Berserk Charge,РС,Книга правил
168,195,Ярость,Frenzy,1,Книга правил
