0,#,Название,Название (англ.),Цена,Вес,Урон,Дальнобойность,Доступность,Тип предмета,Качества,Руны,Источник
55,19,Дротик,Dart,0 КР 2/0,0,+РС+1,РС×2,Распространённый,Метательное,Пронзающее,,Книга правил
318,20,Дротик из черного шиповника,Blackbriar Javelin,2 КР 0/0,1,+РС+3,РС×3,Экзотический,Метательное,Пронзающее,,Архивы империи - Том 1
44,21,Зажигательная бомба,Incendiary,1 КР 0/0,0,Особый,РС,Редкий,Взрывчатка,"Взрыв (4),Опасное",,Книга правил
53,22,Камень,Rock,0 КР 0/0,0,+РС+0,РС×3,Распространённый,Метательное,,,Книга правил
47,23,Кнут,Whip,0 КР 5/0,0,+РС+2,6,Распространённый,Ловчее,Обездвиживающее,,Книга правил
52,24,(2Р) Короткий лук,Shortbow,3 КР 0/0,1,+РС+2,20,Распространённый,Луки,,,Книга правил
51,25,(2Р) Лук,Bow,4 КР 0/0,2,+РС+3,50,Распространённый,Луки,,,Книга правил
56,26,Метательное копьё,Javelin,0 КР 10/6,1,+РС+3,РС×3,Редкий,Метательное,Пронзающее,,Книга правил
57,27,Метательный нож,Throwing Knife,0 КР 18/0,0,+РС+2,РС×2,Распространённый,Метательное,,,Книга правил
58,28,Метательный топорик,Throwing Axe,1 КР 0/0,1,+РС+3,РС×2,Распространённый,Метательное,Разрубающее,,Книга правил
45,29,(2Р) Многозарядное ружьё,Repeater Handgun,10 КР 0/0,3,+9,30,Раритетный,Инженерное,"Грозное,Многозарядное (4),Опасное,Перезарядка (5),Пороховое",,Во всеоружии
46,30,Многозарядный пистолет,Repeater Pistol,15 КР 0/0,1,+8,10,Раритетный,Инженерное,"Грозное,Многозарядное (4),Опасное,Перезарядка (4),Пистолет,Пороховое",,Во всеоружии
422,31,"Многоствольный пистолет ""Перечница""",Pepperbox,12 КР 0/0,1,+8,10,Раритетный,Инженерное,"Грозное,Многозарядное (4),Опасное,Перезарядка (4),Пистолет,Пороховое",,Во всеоружии
61,32,(2Р) Мушкетон,Blunderbuss,2 КР 0/0,1,+8,20,Редкий,Пороховое,"Грозное,Опасное,Перезарядка (2),Пороховое,Разброс (3)",,Во всеоружии
40,33,Одноручный арбалет,Crossbow Pistol,6 КР 0/0,0,+7,10,Редкий,Арбалеты,Пистолет,,Книга правил
62,34,Пистолет,Pistol,8 КР 0/0,0,+8,20,Раритетный,Пороховое,"Грозное,Перезарядка (1),Пистолет,Пороховое",,Во всеоружии
341,35,Пистолет «Драконье пламя»,Drakefire Pistol,25 КР 0/0,1,+11,20,Экзотический,Инженерное,"Грозное,Опасное,Перезарядка (4),Пистолет,Пороховое",,Гномы. Руководство игрока
316,36,Пистолет «Драконье пламя» (неактуально),Drakefire Pistol,25 КР 0/0,1,+8,10,Экзотический,Инженерное,"Грозное,Опасное,Пистолет,Пороховое",,Архивы империи - Том 1
427,37,Пистолет «Лапа грифона»,Griffonsfoot Pistol,10 КР 0/0,1,+7,10,Экзотический,Пороховое,"Грозное,Неточное,Перезарядка (6),Пороховое,Разброс (5)",,Во всеоружии
554,38,Пистоль огра,Ogre Pistol,9 КР 0/0,3,+8,20,Экзотический,Пороховое,"Грозное,Перезарядка (1),Пистолет,Пороховое",,Архивы империи - Том 2
345,39,Подрывной заряд,Blasting Charge,2 КР 0/0,0,+12,РС,Редкий,Взрывчатка,"Бронебойное,Взрыв (2),Опасное,Сокрушающее",,Гномы. Руководство игрока
64,40,(2Р) Посох-праща,Staff Sling,0 КР 4/0,2,+7,100,Редкий,Пращи,,,Книга правил
63,41,Праща,Sling,0 КР 1/0,0,+6,60,Распространённый,Пращи,,,Книга правил
60,42,(2Р) Ружьё,Handgun,4 КР 0/0,2,+9,50,Редкий,Пороховое,"Грозное,Опасное,Перезарядка (3),Пороховое",,Во всеоружии
430,43,(2Р) Ружьё-алебарда,Gun Halberd,10 КР 0/0,3,+9,30,Экзотический,Пороховое,"Грозное,Неточное,Опасное,Перезарядка (4),Пороховое",,Во всеоружии
429,44,(2Р) Ружье-топор,Gun Axe,8 КР 0/0,1,+9,30,Экзотический,Пороховое,"Грозное,Неточное,Опасное,Перезарядка (4),Пороховое",,Во всеоружии
421,45,(2Р) Ручная мортира,Hand Mortar,50 КР 0/0,3,+7,30,Экзотический,Инженерное,"Грозное,Неточное,Опасное,Перезарядка (4),Пороховое",,Во всеоружии
553,46,(2Р) Свинцеплюй,Leadbelcher Gun,14 КР 0/0,8,+10,50,Экзотический,Пороховое,"Грозное,Опасное,Перезарядка (5),Пороховое",,Архивы империи - Том 2
48,47,Сеть/лассо,Lasso,0 КР 6/0,0,-,РС×2,Распространённый,Ловчее,Обездвиживающее,,Книга правил
423,48,Трость-пистолет,Cane Pistol,15 КР 0/0,1,+8,10,Экзотический,Инженерное,"Грозное,Неточное,Опасное,Перезарядка (6),Пороховое",,Во всеоружии
42,49,(2Р) Тяжёлый арбалет,Heavy Crossbow,7 КР 0/0,3,+9,100,Раритетный,Арбалеты,"Грозное,Перезарядка (2)",,Книга правил
428,50,Фитильное ружье,Matchlock Handgun,2 КР 0/0,2,+8,50,Раритетный,Пороховое,"Грозное,Опасное,Перезарядка (4),Пороховое",,Во всеоружии
424,51,(2Р) Фитильный мушкетон,Matchlock Blunderbuss,1 КР 0/0,1,+7,20,Раритетный,Пороховое,"Грозное,Опасное,Перезарядка (3),Пороховое,Разброс (3)",,Во всеоружии
59,52,(2Р) Хохландская длинноствольная винтовка,Hochland Long Rifle,100 КР 0/0,3,+9,100,Экзотический,Пороховое,"Грозное,Меткое,Перезарядка (4),Пороховое,Точное",,Во всеоружии
556,53,Цепная ловушка,Chain Trap,1 КР 0/0,1,+7,РС×2,Редкий,Ловчее,Обездвиживающее,,Архивы империи - Том 2
317,54,Шрапнельная бомба,Cinderblast Bomb,3 КР 0/0,0,+14,РС,Экзотический,Взрывчатка,"Взрыв (3),Опасное,Сокрушающее",,Архивы империи - Том 1
346,55,Шрапнельная бомба,Cinderblast Bomb,3 КР 0/0,0,+10,РС×2,Экзотический,Взрывчатка,"Бронебойное,Взрыв (5),Опасное,Сокрушающее",,Гномы. Руководство игрока
49,56,(2Р) Эльфийский лук,Elf Bow,10 КР 0/0,2,+РС+4,150,Экзотический,Луки,"Грозное,Точное",,Книга правил
